termino,fs,polaridad,Observación,
intrigante,strongsubj,NEG,,intrigante
intuitivo,strongsubj,POS,,intuitivo
inusual,weaksubj,NEG,,inusual
inútil,strongsubj,NEG,,inútil
invadir,strongsubj,NEG,,invadir
invalidar,strongsubj,NEG,,invalidar
invaluable,strongsubj,POS,,invaluable
invencible,strongsubj,POS,,invencible
inviolable,strongsubj,POS,,inviolable
involuntario,weaksubj,NEG,,involuntario
ira,strongsubj,NEG,,ira
irónico,strongsubj,NEG,,irónico
irracional,strongsubj,NEG,,irracional
irrazonable,strongsubj,NEG,,irrazonable
irreconciliable,strongsubj,NEG,,irreconciliable
irreflexión,strongsubj,NEG,,irreflexión
irrefutable,strongsubj,POS,,irrefutable
irregular,weaksubj,NEG,,irregular
irrelevante,weaksubj,NEG,,irrelevante
irreprochable,strongsubj,POS,,irreprochable
irresistible,strongsubj,POS,,irresistible
irrespetuoso,strongsubj,NEG,,irrespetuoso
irresponsable,strongsubj,NEG,,irresponsable
irreverente,strongsubj,NEG,,irreverente
irritar,strongsubj,NEG,,irritar
jovial,strongsubj,POS,,jovial
jubilar,strongsubj,POS,,jubilar
juicioso,strongsubj,POS,,juicioso
justo,strongsubj,POS,,justo
laborioso,strongsubj,POS,,laboriosamente
lamentar,strongsubj,NEG,,lamentar
lastima,strongsubj,NEG,,lastima
leal,strongsubj,POS,,leal
legal,strongsubj,POS,,legal
lento,weaksubj,NEG,,lento
leve,weaksubj,NEG,,leve
liberar,strongsubj,POS,,liberar
libertad,strongsubj,POS,,libertad
silencioso,weaksubj,NEG,,silencioso
líder,strongsubj,POS,,líder
ligero,weaksubj,POS,,ligero
límite,weaksubj,NEG,,límite
linda,strongsubj,POS,,linda
listo,strongsubj,POS,,listo
llamativo,strongsubj,POS,,llamativo
llorar,strongsubj,NEG,,llorar
locura,weaksubj,NEG,,locura
lógico,weaksubj,POS,,lógico
lograr,strongsubj,POS,,lograr
luchar,strongsubj,POS,,luchar
lúcido,strongsubj,POS,,lúcido
lujo,weaksubj,POS,,lujo
lunático,weaksubj,NEG,,lunático
macabro,strongsubj,NEG,,macabro
machista,strongsubj,NEG,,machista
maduro,strongsubj,POS,,maduro
magnífico,strongsubj,POS,,magnífico
magro,weaksubj,POS,,magro
mal,strongsubj,NEG,,mal
maldito,strongsubj,NEG,,maldito
malentendido,strongsubj,NEG,,malentendido
malestar,strongsubj,NEG,,malestar
malhumorado,strongsubj,NEG,,malhumorado
malo,strongsubj,NEG,,malo
maloliente,strongsubj,NEG,,maloliente
maltratar,strongsubj,NEG,,maltratar
malvados,strongsubj,NEG,,malvados
manchar,weaksubj,NEG,,manchar
mandato,weaksubj,NEG,,mandato
maneja,weaksubj,POS,,maneja
maníaco,strongsubj,NEG,,maníaco
manipular,strongsubj,NEG,,manipular
maravilla,strongsubj,POS,,maravilla
martirio,strongsubj,NEG,,martirio
mejor,strongsubj,POS,,mejor
melancólico,weaksubj,NEG,,melancólico
melodramático,weaksubj,NEG,,melodramático
memorable,strongsubj,POS,,memorable
menospreciar,strongsubj,NEG,,menospreciar
mentir,strongsubj,NEG,,mentir
merecer,strongsubj,POS,,merecer
meticuloso,weaksubj,POS,,meticuloso
miedoso,strongsubj,NEG,,miedoso
mimar,weaksubj,POS,,mimar
miserable,strongsubj,NEG,,miserable
misericordioso,strongsubj,POS,,misericordioso
misterio,weaksubj,NEG,,misterio
moderado,weaksubj,POS,,moderado
modesto,strongsubj,POS,,modesto
mofarse,strongsubj,NEG,,mofarse
mojigato,strongsubj,NEG,,mojigato
molestar,strongsubj,NEG,,molestar
monótono,strongsubj,NEG,,monótono
monstruoso,strongsubj,NEG,,monstruoso
moral,strongsubj,POS,,moral
mortificar,strongsubj,NEG,,mortificar
motiva,strongsubj,POS,,motiva
mugre,strongsubj,NEG,,mugre
nada,weaksubj,NEG,,nada
necedad,strongsubj,NEG,,necedad
necesita,weaksubj,NEG,,necesita
necio,strongsubj,NEG,,necio
negativo,strongsubj,NEG,,negativo
negligente,strongsubj,NEG,,negligente
nervios,weaksubj,NEG,,nervios
neurótico,strongsubj,NEG,,neurótico
nop,strongsubj,NEG,,nop
noble,strongsubj,POS,,noble
notorio,weaksubj,POS,,notorio
obedecer,strongsubj,POS,,obedecer
obligar,strongsubj,NEG,,obligar
obsceno,strongsubj,NEG,,obsceno
obsesión,strongsubj,NEG,,obsesión
obsoleto,strongsubj,NEG,,obsoleto
obstruir,weaksubj,NEG,,obstruir
ocupado,weaksubj,NEG,,ocupado
odioso,strongsubj,NEG,,odioso
ofender,strongsubj,NEG,,ofender
olvida,strongsubj,NEG,,olvida
omitir,weaksubj,NEG,,omitir
oportunidad,strongsubj,POS,,oportunidad
oposición,strongsubj,NEG,,oposición
óptima,strongsubj,POS,,óptima
optimista,strongsubj,POS,,optimista
ordenar,strongsubj,NEG,,ordenar
orgullo,strongsubj,POS,,orgullo
ostiga,strongsubj,NEG,,ostiga
peor,strongsubj,NEG,,peor
perdedor,weaksubj,NEG,,perdedor
perezoso,strongsubj,NEG,,perezoso
perfección,strongsubj,POS,,perfección
perjudica,strongsubj,NEG,,perjudica
perplejo,weaksubj,NEG,,perplejo
perro,strongsubj,NEG,,perro
perseverar,strongsubj,POS,,perseverar
persistente,strongsubj,POS,,persistente
perspicaz,strongsubj,POS,,perspicaz
persuadir,strongsubj,POS,,persuadir
pertinente,strongsubj,POS,,pertinente
pervertido,strongsubj,NEG,,pervertido
pesado,strongsubj,NEG,,pesado
pésimo,strongsubj,NEG,,pesima
pierde,strongsubj,NEG,,pierde
planea,strongsubj,POS,,planea
positivo,weaksubj,POS,,positivo
preferencia,strongsubj,NEG,,preferencia
presumido,strongsubj,NEG,,presumido
prudente,strongsubj,POS,,prudente
puntual,strongsubj,POS,,puntual
queja,strongsubj,NEG,,queja
rebelde,strongsubj,NEG,,rebelde
reclamar,strongsubj,NEG,,reclamar
reforzar,strongsubj,POS,,reforzar
refutar,strongsubj,POS,,refutar
regaña,strongsubj,NEG,,regaña
relajo,strongsubj,NEG,,relajo
rencor,strongsubj,NEG,,rencor
reniega,strongsubj,NEG,,reniega
renovarse,strongsubj,POS,,renovarse
represalías,strongsubj,NEG,,represalías
reproche,strongsubj,NEG,,reproche
repugnante,strongsubj,NEG,,repugnante
repulsivo,strongsubj,NEG,,repulsivo
resentido,strongsubj,NEG,,resentido
respetuoso,strongsubj,POS,,respetuoso
responsable,strongsubj,POS,,responsable
resuelve,strongsubj,POS,,resuelve
retraso,weaksubj,NEG,,retraso
retroalimenta,strongsubj,POS,,retroalimenta
revoltoso,strongsubj,NEG,,revoltoso
ridículo,strongsubj,NEG,,ridículo
sarcástico,strongsubj,NEG,,sarcástico
selectivo,strongsubj,NEG,,selectivo
sencillo,weaksubj,POS,,sencillo
sensato,strongsubj,POS,,sensato
sensible,weaksubj,POS,,sensible
serio,strongsubj,POS,,serio
sermonear,strongsubj,NEG,,sermonear
sobresaliente,strongsubj,POS,,sobresaliente
solidario,strongsubj,POS,,solidario
soportable,weaksubj,POS,,soportable
suave,weaksubj,NEG,,suave
subestimar,strongsubj,NEG,,subestimar
sucio,strongsubj,NEG,,sucio
sueño,weaksubj,NEG,,sueño
suficiente,weaksubj,POS,,suficiente
súper,strongsubj,POS,,súper
superficial,strongsubj,NEG,,superficial
superior,weaksubj,POS,,superior
sutil,weaksubj,POS,,sutil
tacto,strongsubj,POS,,tacto
talento,strongsubj,POS,,talento
tarda,strongsubj,NEG,,tarda
tartamudea,strongsubj,NEG,,tartamudea
tediosa,strongsubj,NEG,,tediosa
temible,strongsubj,NEG,,temible
temor,strongsubj,NEG,,temor
temperamental,strongsubj,NEG,,temperamental
tenaz,strongsubj,POS,,tenaz
tenso,weaksubj,NEG,,tenso
terco,strongsubj,NEG,,terco
ternura,strongsubj,POS,,ternura
terrible,strongsubj,NEG,,terrible
terror,strongsubj,NEG,,terror
testarudo,strongsubj,NEG,,testarudo
tétrico,strongsubj,NEG,,tétrico
tierno,weaksubj,POS,,tierno
timador,strongsubj,NEG,,timador
tímido,weaksubj,NEG,,tímido
tiranía,strongsubj,NEG,,tiranía
tolerar,weaksubj,POS,,tolerar
tonto,strongsubj,NEG,,tonto
torpe,strongsubj,NEG,,torpe
tortura,strongsubj,NEG,,tortura
tosco,strongsubj,NEG,,tosco
trabajador,strongsubj,POS,,trabajador
traidor,strongsubj,NEG,,traidor
trampa,weaksubj,NEG,,trampa
tranquilo,strongsubj,POS,,tranquilo
transmite,strongsubj,POS,,transmite
trastornar,strongsubj,NEG,,trastornar
trata,weaksubj,POS,,trata
traumar,strongsubj,NEG,,traumar
travieso,strongsubj,NEG,,travieso
tristeza,strongsubj,NEG,,tristeza
último,weaksubj,POS,,último
útil,strongsubj,POS,,útil
vago,strongsubj,NEG,,vago
valiente,strongsubj,POS,,valiente
valor,strongsubj,POS,,valor
vanguardia,strongsubj,POS,,vanguardia
vanidad,weaksubj,NEG,,vanidad
venerable,strongsubj,POS,,venerable
venerar,strongsubj,POS,,venerar
vengar,strongsubj,NEG,,vengar
ventaja,strongsubj,POS,,ventaja
verdad,strongsubj,POS,,veraz
vergüenza,strongsubj,NEG,,vergonzoso
víbora,strongsubj,NEG,,viable
vicio,strongsubj,NEG,,víbora
víctima,strongsubj,NEG,,vicioso
vil,strongsubj,NEG,,vigoroso
volátil,weaksubj,NEG,,vivaz
vulgar,weaksubj,NEG,,voluntario
vulnerable,weaksubj,NEG,,vulgar
zoquete,strongsubj,NEG,,vulnerable
sabe,strongsubj,POS,,aburrida
primeriza,weaksubj,NEG,,sabe
demostrar,strongsubj,POS,,primeriza
pega,weaksubj,NEG,,demostrar
