termino,fs,polaridad
forj,weaksubj,NEG
fortuit,strongsubj,POS
fortun,strongsubj,POS
fracas,strongsubj,NEG
fragant,strongsubj,POS
fragil,weaksubj,NEG
fragment,weaksubj,NEG
franc,strongsubj,POS
franquez,weaksubj,POS
fraternal,weaksubj,POS
fraterniz,strongsubj,POS
fraudulent,weaksubj,NEG
frenet,strongsubj,NEG
fresc,weaksubj,POS
friament,strongsubj,NEG
friccion,strongsubj,NEG
fri,weaksubj,NEG
frivol,strongsubj,POS
frivol,strongsubj,NEG
frotis,weaksubj,NEG
fructuos,weaksubj,POS
frust,strongsubj,NEG
frustracion,strongsubj,NEG
frustr,strongsubj,NEG
frustrant,strongsubj,NEG
fuert,strongsubj,POS
fuert,weaksubj,POS
pesim,strongsubj,NEG
fug,weaksubj,NEG
fug,strongsubj,NEG
fugaz,weaksubj,NEG
fugit,weaksubj,NEG
fulmin,strongsubj,NEG
funcional,weaksubj,POS
fundamental,weaksubj,NEG
furi,strongsubj,NEG
furios,strongsubj,NEG
furios,weaksubj,NEG
furor,strongsubj,NEG
furtiv,weaksubj,NEG
fustig,strongsubj,NEG
galant,strongsubj,POS
ganabl,strongsubj,POS
ganador,strongsubj,POS
gananci,weaksubj,POS
gan,strongsubj,POS
nunc,weaksubj,NEG
gang,strongsubj,POS
garant,weaksubj,POS
gener,strongsubj,POS
genial,weaksubj,POS
genial,strongsubj,POS
geni,strongsubj,NEG
genocidi,strongsubj,NEG
genuin,weaksubj,POS
glori,strongsubj,POS
glorific,strongsubj,POS
glorios,strongsubj,POS
golp,weaksubj,NEG
gord,weaksubj,NEG
goz,strongsubj,POS
graci,strongsubj,POS
graci,weaksubj,NEG
gracios,strongsubj,POS
gracios,weaksubj,NEG
grafic,strongsubj,NEG
grand,weaksubj,POS
grandez,strongsubj,POS
grandios,strongsubj,NEG
grappl,weaksubj,NEG
gratif,strongsubj,POS
gratific,strongsubj,POS
gratitud,strongsubj,NEG
gratitud,strongsubj,POS
gratuit,strongsubj,NEG
gratuit,weaksubj,POS
grav,strongsubj,NEG
gravement,strongsubj,NEG
ayud,weaksubj,NEG
pobr,weaksubj,NEG
grial,weaksubj,POS
groser,strongsubj,NEG
gust,strongsubj,POS
gustari,strongsubj,POS
gust,weaksubj,POS
gustos,strongsubj,POS
gutsy,strongsubj,POS
habil,strongsubj,POS
habil,weaksubj,POS
habilit,weaksubj,POS
hart,weaksubj,NEG
hermos,strongsubj,POS
hermosur,weaksubj,POS
hostil,strongsubj,NEG
huir,strongsubj,NEG
improvis,strongsubj,NEG
humild,strongsubj,NEG
humill,strongsubj,NEG
humor,strongsubj,POS
ideal,strongsubj,POS
ide,strongsubj,NEG
imparcial,strongsubj,NEG
impart,strongsubj,POS
implac,strongsubj,NEG
implaus,strongsubj,NEG
imprudent,strongsubj,NEG
impudenc,strongsubj,NEG
inacept,strongsubj,NEG
inadapt,strongsubj,NEG
inadvert,weaksubj,NEG
inadvis,weaksubj,NEG
inaguant,strongsubj,NEG
inaptitud,strongsubj,NEG
inarticulat,strongsubj,NEG
inatac,strongsubj,POS
inautent,weaksubj,NEG
incalcul,strongsubj,POS
incandescent,strongsubj,POS
incap,strongsubj,NEG
incapacit,strongsubj,NEG
incapaz,weaksubj,NEG
incautious,strongsubj,NEG
incaut,strongsubj,NEG
inciert,weaksubj,NEG
incisiv,strongsubj,POS
incit,strongsubj,NEG
inclusiv,weaksubj,POS
inclus,weaksubj,POS
incobr,weaksubj,NEG
incomod,strongsubj,NEG
incompat,weaksubj,NEG
incomplet,weaksubj,NEG
incomprehens,strongsubj,NEG
incomprehension,strongsubj,NEG
incomprend,strongsubj,NEG
inconceb,strongsubj,NEG
inconclusiv,weaksubj,NEG
inconclus,weaksubj,NEG
incondicional,strongsubj,NEG
incondicional,weaksubj,POS
incondicional,strongsubj,POS
inconsiderat,strongsubj,NEG
inconsistenc,strongsubj,NEG
inconst,strongsubj,NEG
inconstitucional,weaksubj,NEG
incontest,strongsubj,POS
incontrovert,strongsubj,POS
inconvenienc,strongsubj,NEG
inconvenient,strongsubj,NEG
incorrupt,strongsubj,POS
incred,strongsubj,POS
incredul,strongsubj,NEG
increibl,strongsubj,NEG
increibl,strongsubj,POS
incuestion,strongsubj,POS
inculcat,strongsubj,NEG
incumpl,weaksubj,NEG
incumpl,strongsubj,NEG
indeb,strongsubj,NEG
indebt,weaksubj,POS
indecency,strongsubj,NEG
indecent,strongsubj,NEG
indecision,strongsubj,NEG
indecis,weaksubj,NEG
indefatig,strongsubj,POS
indefens,strongsubj,NEG
indefin,weaksubj,NEG
indescrib,strongsubj,POS
indes,strongsubj,NEG
indestruct,strongsubj,POS
indetermin,weaksubj,NEG
indeterminat,weaksubj,NEG
indiferent,strongsubj,NEG
indigent,strongsubj,NEG
indigent,weaksubj,NEG
indign,strongsubj,NEG
indigno d,strongsubj,NEG
indiscern,weaksubj,NEG
indiscrecion,strongsubj,NEG
indiscret,strongsubj,NEG
indiscrimin,strongsubj,NEG
indiscut,strongsubj,POS
indiscut,weaksubj,POS
indispens,strongsubj,POS
indispon,weaksubj,NEG
indispuest,strongsubj,NEG
indisput,strongsubj,POS
indistint,weaksubj,NEG
indistint,strongsubj,NEG
individual,weaksubj,POS
indocument,weaksubj,NEG
indolent,strongsubj,NEG
indom,strongsubj,POS
indubit,strongsubj,POS
indud,strongsubj,POS
indulgent,strongsubj,POS
indulgent,weaksubj,POS
inefect,weaksubj,NEG
ineficaci,strongsubj,NEG
ineficaci,weaksubj,NEG
ineficaz,strongsubj,NEG
ineficaz,weaksubj,NEG
ineficient,weaksubj,NEG
inelig,weaksubj,NEG
inelocuent,strongsubj,NEG
inelud,strongsubj,NEG
inept,strongsubj,NEG
ineptitud,strongsubj,NEG
inequ,strongsubj,NEG
inequit,strongsubj,NEG
inequivoc,strongsubj,POS
inerci,weaksubj,NEG
inescap,strongsubj,NEG
inescrupul,strongsubj,NEG
inesencial,strongsubj,NEG
inesper,strongsubj,NEG
inesper,weaksubj,NEG
inest,weaksubj,NEG
inestim,strongsubj,POS
inevit,strongsubj,NEG
inevit,weaksubj,NEG
inexact,weaksubj,NEG
inexcus,strongsubj,NEG
inexistent,weaksubj,NEG
inexor,strongsubj,NEG
inexperient,weaksubj,NEG
inexpert,weaksubj,NEG
inexpert,weaksubj,POS
inexpi,strongsubj,NEG
inexplic,strongsubj,NEG
inexplic,weaksubj,NEG
inextric,strongsubj,NEG
infalibil,strongsubj,POS
infal,strongsubj,POS
infam,strongsubj,NEG
infami,strongsubj,NEG
infect,weaksubj,NEG
infel,strongsubj,NEG
infeliz,strongsubj,NEG
inferior,strongsubj,NEG
infernal,strongsubj,NEG
infest,weaksubj,NEG
infiel,strongsubj,NEG
infiltr,weaksubj,NEG
inflacion,weaksubj,NEG
inflad,weaksubj,NEG
inflam,strongsubj,NEG
inflamatori,strongsubj,NEG
inflex,strongsubj,NEG
inflig,strongsubj,NEG
influenci,strongsubj,POS
influyent,weaksubj,POS
inform,strongsubj,POS
inform,weaksubj,POS
infortuni,strongsubj,NEG
infraccion,weaksubj,NEG
infractor,strongsubj,NEG
infriccion,strongsubj,NEG
infring,strongsubj,NEG
infructu,strongsubj,NEG
infructu,weaksubj,NEG
infund,strongsubj,NEG
ingeni,strongsubj,POS
ingenu,strongsubj,NEG
ingobern,strongsubj,NEG
ingratitud,strongsubj,NEG
ingrat,strongsubj,NEG
inhabilit,weaksubj,NEG
inhibicion,weaksubj,NEG
inhib,weaksubj,NEG
inhospital,strongsubj,NEG
inhospit,strongsubj,NEG
inhuman,strongsubj,NEG
inicu,strongsubj,NEG
inimagin,strongsubj,NEG
iniqu,strongsubj,NEG
injert,weaksubj,NEG
injuri,strongsubj,NEG
injust,strongsubj,NEG
injustici,strongsubj,NEG
injustific,strongsubj,NEG
injustific,weaksubj,NEG
inmacul,strongsubj,POS
inmovil,weaksubj,NEG
inmund,strongsubj,NEG
innecesari,weaksubj,NEG
innov,weaksubj,POS
inocent,weaksubj,POS
inocu,strongsubj,POS
inofens,strongsubj,POS
inolvid,strongsubj,POS
inombr,strongsubj,NEG
inoper,weaksubj,NEG
inoportun,strongsubj,NEG
inoxid,weaksubj,POS
inquiet,strongsubj,NEG
inquietud,strongsubj,NEG
inquietud,weaksubj,NEG
inquisit,strongsubj,POS
insaci,strongsubj,NEG
insalubr,weaksubj,NEG
insan,strongsubj,NEG
insatisfaccion,strongsubj,NEG
insatisfactori,weaksubj,NEG
insatisfech,strongsubj,NEG
insegur,strongsubj,NEG
insegur,weaksubj,NEG
insensat,strongsubj,NEG
insensibil,strongsubj,NEG
insens,strongsubj,NEG
insignif,weaksubj,NEG
insignif,strongsubj,NEG
insignific,weaksubj,NEG
insincer,strongsubj,NEG
insinu,strongsubj,NEG
insinu,strongsubj,POS
insistent,weaksubj,POS
insistent,strongsubj,POS
insist,strongsubj,POS
insoci,strongsubj,NEG
insolent,strongsubj,NEG
insolvent,weaksubj,NEG
insond,strongsubj,NEG
insoport,strongsubj,NEG
insopot,strongsubj,NEG
insosten,strongsubj,NEG
insosten,weaksubj,NEG
inspir,strongsubj,POS
instar,strongsubj,POS
instig,strongsubj,NEG
instruct,weaksubj,POS
instrumental,weaksubj,POS
insubordin,weaksubj,NEG
insubstancial,strongsubj,NEG
insuficient,weaksubj,NEG
insufr,strongsubj,NEG
insul,weaksubj,NEG
insult,strongsubj,NEG
insuper,weaksubj,NEG
insurreccion,weaksubj,NEG
insustancial,strongsubj,NEG
intact,weaksubj,POS
integral,weaksubj,POS
integr,strongsubj,POS
inteligent,weaksubj,POS
inteligent,strongsubj,POS
intelig,strongsubj,POS
intencion,strongsubj,POS
interact,strongsubj,POS
interced,weaksubj,POS
inter,strongsubj,POS
interes,weaksubj,POS
interes,strongsubj,POS
interferent,weaksubj,NEG
interfer,weaksubj,NEG
intermitent,weaksubj,NEG
interrump,weaksubj,NEG
interrupcion,weaksubj,NEG
intimid,weaksubj,NEG
intim,strongsubj,POS
intimid,strongsubj,NEG
intim,weaksubj,POS
intoler,strongsubj,NEG
intoxic,weaksubj,NEG
intranquil,strongsubj,NEG
intransigent,strongsubj,NEG
intrat,weaksubj,NEG
intrepidez,strongsubj,POS
intrep,strongsubj,POS
intrig,strongsubj,POS
intrig,strongsubj,NEG
intrinc,weaksubj,POS
intrusion,weaksubj,NEG
intrus,strongsubj,NEG
intuit,strongsubj,POS
inund,strongsubj,NEG
inusual,weaksubj,NEG
inutil,strongsubj,NEG
invad,weaksubj,NEG
invalid,strongsubj,NEG
invalidez,strongsubj,NEG
inval,strongsubj,NEG
invalu,strongsubj,POS
invasion,weaksubj,NEG
invasor,weaksubj,NEG
invect,strongsubj,NEG
invencibil,strongsubj,POS
invenc,strongsubj,POS
invent,strongsubj,POS
invent,weaksubj,POS
inviol,strongsubj,POS
involuntari,weaksubj,NEG
invulner,strongsubj,POS
ira,strongsubj,NEG
iron,strongsubj,NEG
irracional,strongsubj,NEG
irrazon,strongsubj,NEG
irreconcili,strongsubj,NEG
irredim,strongsubj,NEG
irreflexion,strongsubj,NEG
irreflex,strongsubj,NEG
irreform,strongsubj,NEG
irrefut,strongsubj,POS
irregul,weaksubj,NEG
irregular,weaksubj,NEG
irrelev,strongsubj,NEG
irrepar,strongsubj,NEG
irrepar,weaksubj,NEG
irreplac,strongsubj,NEG
irreprim,strongsubj,NEG
irreproch,strongsubj,POS
irresist,strongsubj,POS
irresolubl,weaksubj,NEG
irresolut,strongsubj,NEG
irrespet,strongsubj,NEG
irrespetu,strongsubj,NEG
irrespons,strongsubj,NEG
irrestrict,weaksubj,POS
irreverent,strongsubj,NEG
irrevers,strongsubj,NEG
irrit,strongsubj,NEG
jactanci,strongsubj,NEG
jactanci,strongsubj,POS
jad,strongsubj,NEG
jiron,weaksubj,NEG
jovial,strongsubj,POS
jubil,strongsubj,POS
jueg,weaksubj,NEG
juguet,strongsubj,NEG
jugueton,strongsubj,POS
juicio errone,strongsubj,NEG
juicios,strongsubj,POS
jur,strongsubj,POS
jur,strongsubj,NEG
justici,strongsubj,POS
justific,strongsubj,POS
justif,strongsubj,POS
just,strongsubj,POS
juvenil,weaksubj,NEG
labori,strongsubj,POS
lacay,strongsubj,NEG
ladron,strongsubj,NEG
lagun,strongsubj,NEG
lament,strongsubj,NEG
lastim,strongsubj,NEG
latent,strongsubj,NEG
latig,strongsubj,NEG
leal,weaksubj,POS
lealt,strongsubj,POS
legal,weaksubj,POS
legendari,weaksubj,POS
legitim,weaksubj,POS
lent,strongsubj,NEG
lesion,weaksubj,NEG
letal,weaksubj,NEG
letarg,weaksubj,NEG
levant,weaksubj,NEG
lev,weaksubj,NEG
liber,weaksubj,POS
liberal,weaksubj,POS
liber,strongsubj,POS
libert,strongsubj,POS
libertad,strongsubj,POS
libertinaj,strongsubj,NEG
libertin,strongsubj,NEG
libidin,strongsubj,NEG
lid,weaksubj,POS
liger,weaksubj,POS
limit,weaksubj,NEG
lim,strongsubj,NEG
limpi,weaksubj,POS
limpiez,weaksubj,POS
lind,strongsubj,POS
lind,weaksubj,POS
liric,strongsubj,POS
lisi,strongsubj,NEG
list,strongsubj,POS
liter,weaksubj,NEG
litigi,strongsubj,NEG
liv,strongsubj,NEG
llamat,strongsubj,POS
llanur,weaksubj,POS
llen,strongsubj,POS
llor,strongsubj,NEG
loabl,strongsubj,POS
loc,strongsubj,NEG
locuaz,strongsubj,NEG
locur,strongsubj,NEG
logic,weaksubj,POS
logr,strongsubj,POS
logr,weaksubj,POS
luch,strongsubj,NEG
luchador,strongsubj,POS
luch,weaksubj,NEG
lucid,strongsubj,POS
luc,strongsubj,POS
lucrat,weaksubj,POS
lug,weaksubj,NEG
lugubr,strongsubj,NEG
luj,strongsubj,POS
lujos,strongsubj,POS
lumbr,weaksubj,POS
lumin,weaksubj,POS
lunatic,strongsubj,NEG
lunat,strongsubj,NEG
lustr,strongsubj,NEG
lustr,strongsubj,POS
lustros,strongsubj,POS
macabr,strongsubj,NEG
machist,strongsubj,NEG
madur,weaksubj,POS
madurez,weaksubj,POS
maestr,strongsubj,POS
magi,strongsubj,POS
magic,strongsubj,POS
magistral,strongsubj,POS
magnanim,strongsubj,POS
magnet,weaksubj,POS
magnif,strongsubj,POS
magnificent,strongsubj,POS
magr,weaksubj,POS
majest,strongsubj,POS
majestu,strongsubj,POS
majestu,weaksubj,POS
maj,strongsubj,POS
mal,strongsubj,NEG
malisim,strongsubj,NEG
malcontent,strongsubj,NEG
mald,strongsubj,NEG
maldicion,strongsubj,NEG
maldit,strongsubj,NEG
malentend,strongsubj,NEG
malest,strongsubj,NEG
malevolent,strongsubj,NEG
malevol,strongsubj,NEG
malhechor,strongsubj,NEG
malhumor,strongsubj,NEG
malici,strongsubj,NEG
malign,strongsubj,NEG
malolient,strongsubj,NEG
maltrat,weaksubj,NEG
malv,strongsubj,NEG
manch,strongsubj,NEG
manch,weaksubj,NEG
mandat,weaksubj,NEG
manej,strongsubj,POS
manej,weaksubj,POS
man,strongsubj,NEG
maniac,strongsubj,NEG
manifiest,strongsubj,POS
maniobr,weaksubj,NEG
manipul,weaksubj,NEG
manipul,strongsubj,NEG
maniqu,strongsubj,NEG
manos,weaksubj,NEG
mans,strongsubj,POS
maravill,strongsubj,POS
martiri,strongsubj,NEG
masacr,strongsubj,NEG
masacr,weaksubj,NEG
matanz,strongsubj,NEG
mat,weaksubj,NEG
maton,strongsubj,NEG
mayor,strongsubj,POS
mejor,weaksubj,POS
mejor de lo esper,strongsubj,POS
mejor,strongsubj,POS
melancol,strongsubj,NEG
melodramat,strongsubj,NEG
memor,strongsubj,POS
memor,weaksubj,POS
menospreci,strongsubj,NEG
ment,weaksubj,NEG
ment,strongsubj,NEG
mentir,strongsubj,NEG
mentir,weaksubj,NEG
mentor,weaksubj,POS
mer,strongsubj,NEG
merecedor,strongsubj,POS
merec,strongsubj,POS
merecid,strongsubj,POS
merit,strongsubj,POS
meritori,strongsubj,POS
mermel,weaksubj,NEG
meticul,weaksubj,POS
mezquind,strongsubj,NEG
mezquin,strongsubj,NEG
mied,strongsubj,NEG
miedos,strongsubj,NEG
milagr,strongsubj,POS
milit,strongsubj,NEG
mim,weaksubj,POS
min,strongsubj,NEG
ministr,weaksubj,POS
minuci,weaksubj,POS
miop,strongsubj,NEG
mir,weaksubj,POS
miser,strongsubj,NEG
miseri,strongsubj,NEG
misericordi,strongsubj,POS
misteri,strongsubj,NEG
mistific,weaksubj,NEG
mitin,strongsubj,POS
mit,strongsubj,NEG
mocos,strongsubj,NEG
moder,strongsubj,POS
modern,weaksubj,POS
modesti,weaksubj,POS
modest,weaksubj,POS
mof,strongsubj,NEG
mohos,strongsubj,NEG
mojigat,strongsubj,NEG
molest,strongsubj,NEG
molesti,strongsubj,NEG
molest,weaksubj,NEG
mon,strongsubj,NEG
monoton,strongsubj,NEG
monstru,strongsubj,NEG
monstruos,strongsubj,NEG
monumental,strongsubj,POS
moral,strongsubj,POS
moraliz,strongsubj,POS
morb,strongsubj,NEG
mordaz,strongsubj,NEG
moribund,strongsubj,NEG
moribund,weaksubj,NEG
mortal,weaksubj,NEG
mortif,strongsubj,NEG
mortific,strongsubj,NEG
motiv,strongsubj,POS
mounstru,strongsubj,NEG
muert,weaksubj,NEG
mugr,strongsubj,NEG
mugrient,strongsubj,NEG
mult,weaksubj,NEG
multipolariz,strongsubj,NEG
mundan,strongsubj,NEG
murmur,strongsubj,NEG
antigu,strongsubj,NEG
nad,strongsubj,NEG
natural,weaksubj,POS
neced,strongsubj,NEG
necesari,weaksubj,POS
necesit,strongsubj,NEG
necesit,weaksubj,NEG
neci,strongsubj,NEG
negacion,strongsubj,NEG
negacion,weaksubj,NEG
neg,strongsubj,NEG
neg,weaksubj,NEG
negat,weaksubj,NEG
negligent,strongsubj,NEG
nervi,weaksubj,NEG
nervi,strongsubj,NEG
nervios,strongsubj,NEG
neumat,weaksubj,NEG
neurot,strongsubj,NEG
neutraliz,weaksubj,POS
never,strongsubj,NEG
ni�,strongsubj,POS
no,strongsubj,NEG
nobl,strongsubj,POS
normal,weaksubj,POS
notabl,strongsubj,POS
notabl,weaksubj,POS
notori,strongsubj,NEG
obedec,strongsubj,POS
obedient,strongsubj,POS
obertur,strongsubj,POS
obes,strongsubj,NEG
objecion,strongsubj,NEG
objet,strongsubj,NEG
objet,weaksubj,POS
oblicu,weaksubj,NEG
oblig,strongsubj,POS
oblig,strongsubj,NEG
obligatori,weaksubj,NEG
obliter,strongsubj,NEG
obscen,strongsubj,NEG
obsen,strongsubj,NEG
obsesion,strongsubj,NEG
obses,strongsubj,NEG
obsolet,weaksubj,NEG
obstacul,strongsubj,NEG
obstin,strongsubj,NEG
obstruccion,weaksubj,NEG
obstru,weaksubj,NEG
obtus,strongsubj,NEG
obvi,strongsubj,NEG
obvi,strongsubj,POS
ocasion,strongsubj,NEG
ocup,weaksubj,NEG
odi,strongsubj,NEG
odios,strongsubj,NEG
ofend,strongsubj,NEG
ofens,weaksubj,NEG
ofens,strongsubj,NEG
ofici,strongsubj,NEG
ole,strongsubj,POS
oliend,weaksubj,NEG
olvid,strongsubj,NEG
olvidadis,strongsubj,NEG
olvid,strongsubj,POS
omin,strongsubj,NEG
omision,weaksubj,NEG
omit,weaksubj,NEG
oner,strongsubj,NEG
opin,weaksubj,POS
opinion,strongsubj,POS
oportun,strongsubj,POS
oportun,weaksubj,NEG
oportun,weaksubj,POS
oposicion,strongsubj,NEG
opresion,strongsubj,NEG
opres,strongsubj,NEG
opresor,strongsubj,NEG
oprim,strongsubj,NEG
optim,strongsubj,POS
optim,weaksubj,POS
opulent,weaksubj,POS
opulent,strongsubj,POS
ordal,strongsubj,NEG
orden,strongsubj,POS
orden,weaksubj,POS
orden,strongsubj,NEG
organizacion,strongsubj,POS
orgull,strongsubj,POS
orgull,strongsubj,NEG
oro,weaksubj,POS
ostig,strongsubj,NEG
pen,strongsubj,NEG
pensat,strongsubj,POS
peor,strongsubj,NEG
percanc,strongsubj,NEG
perdedor,weaksubj,NEG
perd,weaksubj,NEG
perez,strongsubj,NEG
perfeccion,strongsubj,POS
perfeccion,weaksubj,NEG
perfect,strongsubj,POS
perjud,strongsubj,NEG
perjudicial,weaksubj,NEG
perplej,strongsubj,NEG
perr,strongsubj,NEG
persever,strongsubj,POS
persistent,strongsubj,NEG
perspicaz,strongsubj,POS
persuad,strongsubj,POS
persuas,strongsubj,POS
pertinent,weaksubj,POS
perturb,strongsubj,NEG
pervers,strongsubj,NEG
perversion,strongsubj,NEG
pervert,strongsubj,NEG
pes,strongsubj,NEG
pesad,strongsubj,NEG
pesadill,strongsubj,NEG
pierd,strongsubj,NEG
plane,strongsubj,POS
posit,weaksubj,POS
potencial,weaksubj,POS
preferent,strongsubj,NEG
presum,strongsubj,NEG
problemat,strongsubj,NEG
prudenci,weaksubj,POS
prudent,strongsubj,POS
puntual,weaksubj,POS
quej,strongsubj,NEG
rebeld,strongsubj,NEG
rechin,strongsubj,NEG
reclam,weaksubj,POS
recomend,strongsubj,POS
recom,strongsubj,POS
recompens,weaksubj,POS
reconoc,weaksubj,POS
reforz,weaksubj,POS
reforz,strongsubj,POS
refuerz,strongsubj,POS
refut,strongsubj,POS
rega�,strongsubj,NEG
regocij,weaksubj,POS
relaj,weaksubj,POS
relaj,strongsubj,NEG
remuner,strongsubj,POS
rencor,strongsubj,NEG
renieg,weaksubj,NEG
renombr,strongsubj,POS
renov,weaksubj,POS
renov,strongsubj,NEG
represali,strongsubj,NEG
represal,strongsubj,NEG
reproch,strongsubj,NEG
repudi,strongsubj,NEG
repugn,strongsubj,NEG
repugn,weaksubj,NEG
repulsion,weaksubj,NEG
repuls,weaksubj,NEG
resent,strongsubj,NEG
respet,strongsubj,POS
respetu,strongsubj,POS
resplandec,strongsubj,POS
respons,strongsubj,NEG
respons,strongsubj,POS
resuelv,strongsubj,POS
retorc,strongsubj,NEG
retract,strongsubj,NEG
retras,weaksubj,NEG
retroaliment,strongsubj,POS
revolt,strongsubj,NEG
ridiculiz,strongsubj,NEG
ridicul,strongsubj,NEG
rig,weaksubj,NEG
roer,weaksubj,NEG
rumor,strongsubj,NEG
sabi,strongsubj,POS
sabidur,strongsubj,POS
sarcasm,strongsubj,NEG
sarcast,strongsubj,NEG
satisfech,strongsubj,POS
seduc,strongsubj,NEG
seductor,strongsubj,POS
segur,strongsubj,POS
select,weaksubj,POS
sencill,weaksubj,POS
sencillez,strongsubj,POS
sensat,strongsubj,POS
sensibil,weaksubj,POS
sensibl,weaksubj,POS
sentimental,strongsubj,NEG
sepulcr,strongsubj,NEG
sepulcr,weaksubj,NEG
seri,strongsubj,NEG
seried,weaksubj,NEG
seri,strongsubj,POS
sermon,strongsubj,NEG
si,strongsubj,POS
signific,strongsubj,POS
simpat,strongsubj,NEG
siniestr,strongsubj,NEG
sobrenatural,strongsubj,POS
sobresalient,strongsubj,POS
sociabl,strongsubj,POS
sofistic,strongsubj,POS
sofoc,strongsubj,NEG
solemn,weaksubj,NEG
solidari,strongsubj,POS
sombri,strongsubj,NEG
sonreir,strongsubj,POS
sonr,strongsubj,POS
sonrient,strongsubj,POS
soport,strongsubj,POS
sorprendent,strongsubj,POS
suav,weaksubj,NEG
subestim,strongsubj,POS
subestim,strongsubj,NEG
sublim,strongsubj,POS
sucied,weaksubj,NEG
suci,weaksubj,NEG
sue�,weaksubj,NEG
suert,strongsubj,POS
suficient,weaksubj,POS
suic,weaksubj,NEG
suicidi,weaksubj,NEG
sup,strongsubj,POS
superficial,strongsubj,NEG
superflu,strongsubj,NEG
superior,strongsubj,POS
suplic,weaksubj,NEG
suprem,strongsubj,POS
suscept,weaksubj,NEG
suspicaz,strongsubj,NEG
sutil,weaksubj,POS
sutilez,strongsubj,NEG
tact,strongsubj,POS
talent,strongsubj,POS
tard,strongsubj,NEG
tartamude,strongsubj,NEG
tedios,strongsubj,NEG
tedi,strongsubj,NEG
temerari,strongsubj,NEG
temer,strongsubj,NEG
temibl,strongsubj,NEG
temor,strongsubj,NEG
temperamental,strongsubj,NEG
templ,weaksubj,POS
templanz,weaksubj,POS
tenac,strongsubj,POS
tenaz,strongsubj,POS
tension,weaksubj,NEG
tens,weaksubj,NEG
terc,strongsubj,NEG
ternur,strongsubj,POS
terribl,strongsubj,NEG
terribl,strongsubj,POS
terror,strongsubj,NEG
terrorif,strongsubj,NEG
terror,weaksubj,NEG
tesor,strongsubj,POS
testarud,strongsubj,NEG
tetric,strongsubj,NEG
tibi,strongsubj,NEG
tiburon,strongsubj,NEG
tiern,weaksubj,POS
timador,weaksubj,NEG
timid,strongsubj,NEG
timidez,strongsubj,NEG
tim,strongsubj,NEG
tiniebl,strongsubj,NEG
tiran,strongsubj,NEG
toler,strongsubj,POS
toler,weaksubj,POS
tont,strongsubj,NEG
torment,strongsubj,NEG
torment,weaksubj,NEG
torp,strongsubj,NEG
tortur,weaksubj,NEG
tosc,strongsubj,NEG
toxic,weaksubj,NEG
trabaj,weaksubj,POS
tragedi,weaksubj,NEG
tragic,strongsubj,NEG
traicion,strongsubj,NEG
traicioner,weaksubj,NEG
traidor,strongsubj,NEG
tramp,weaksubj,NEG
trampos,strongsubj,NEG
tranc,strongsubj,POS
tranquil,strongsubj,POS
tranquiliz,strongsubj,POS
transgresor,strongsubj,NEG
transmit,strongsubj,POS
trastorn,strongsubj,NEG
trastorn,weaksubj,NEG
trat,weaksubj,POS
traum,strongsubj,NEG
traumat,strongsubj,NEG
traumatiz,strongsubj,NEG
travies,strongsubj,NEG
tremend,strongsubj,POS
trist,strongsubj,NEG
tristement,strongsubj,NEG
tristement,weaksubj,NEG
tristez,strongsubj,NEG
triunfal,strongsubj,POS
triunfant,strongsubj,POS
triunf,strongsubj,POS
turbi,weaksubj,NEG
ultimatum,strongsubj,NEG
ultim,strongsubj,POS
unic,weaksubj,POS
uniform,weaksubj,POS
union,strongsubj,POS
urgenci,strongsubj,NEG
urgent,weaksubj,NEG
util,strongsubj,POS
util,weaksubj,POS
vagabund,strongsubj,NEG
vag,weaksubj,NEG
valent,strongsubj,POS
valient,strongsubj,POS
valios,weaksubj,POS
valor,strongsubj,POS
valor,weaksubj,POS
vanguardi,strongsubj,POS
vanid,weaksubj,NEG
venen,strongsubj,NEG
venen,weaksubj,NEG
vener,strongsubj,POS
vener,weaksubj,POS
venganz,strongsubj,NEG
veng,strongsubj,NEG
vengat,strongsubj,NEG
vengat,weaksubj,NEG
ventaj,weaksubj,POS
ventaj,strongsubj,POS
ventur,weaksubj,POS
veraz,strongsubj,POS
verd,strongsubj,POS
verdader,strongsubj,POS
vergonz,strongsubj,NEG
verg�enz,strongsubj,NEG
versatil,strongsubj,NEG
versatil,weaksubj,POS
viabil,weaksubj,POS
viabl,weaksubj,POS
vibor,weaksubj,NEG
vici,strongsubj,NEG
vicios,strongsubj,NEG
victim,weaksubj,NEG
victori,weaksubj,POS
vigor,weaksubj,POS
vil,strongsubj,NEG
virtud,strongsubj,POS
vivaz,strongsubj,POS
volatil,weaksubj,NEG
voluntari,weaksubj,POS
vulg,weaksubj,NEG
vulner,strongsubj,POS
zoquet,strongsubj,NEG
no as,strongsubj,NEG
sab,strongsubj,POS
primeriz,strongsubj,NEG
demostr,weaksubj,NEG
peg,strongsubj,NEG
