content,hotel,stars,title
"Estimado huésped, nos hubiera gustado cubrir mejor sus expectativas. Para nosotros es importante que los clientes se vayan satisfechos. Si sentía frío en el restaurante, sólo con haberlo comentado al responsable de sala se hubiera dado mas temperatura o conectado mas máquinas. Es difícil acertar con la temperatura, ya que hay clientes (sobre todo extranjeros), que quieren mas frío y otros como usted mas calidez. Ya que no hay ningún aspecto (excepto decoración del hotel), que no le haya desagradado, esperamos que primen los aspectos como comodidad, personal e instalaciones para poder visitarnos en un futuro.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Estuvimos agusto
"Estimada Diana Mónica W,",Melia Granada,4 de 5 burbujas,"Ubicación ideal, comodidad y excelente desayuno"
"Estimada Aida, su comentario y valoración son muy motivadoras para todo el equipo, y quiero personalmente en nombre de todos, agradecerle que las comparta en este foro. La esperamos con los brazos abiertos en una futura visita a nuestra ciudad. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Excelente hotel
"Estimado Ramón, quiero transmitirle nuestro agradecimiento por dedicar unos minutos a hacer una reseña de nuestro establecimiento tan completa y sobre todo positiva, destacando gastronomía o nuestro ""programa mascotas"".",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Amabilidad y confort
"en pleno centro de granada, es un edificio histórico restaurado. La habitación que me asignaron ni era excesivamente grande ni tenía vistas. El desayuno bien atendido y adecuado. Limpio y con servicio atento. Me esperaba más en relación al precio.",Hotel Palacio de Los Navas,4 de 5 burbujas,centrico
"Vengo con mi pareja a Granada de expansión. El hotel está justo en el centro: la calle Navas es una de las arterias para el Tapeo, uno de los grandes plus de esta ciudad. La habitación que tenemos, la 21 es algo pequeña (para el precio que tiene) contiene todo lo necesario, la tele es pequeñita, y estar justo en el centro tiene dos cosas malas: los palacios con cierto caché no tienen garaje y Granada es una ciudad peatonal... Así que tienes que tener mucha suerte para aparcar o darte un paseo al aparcamiento. ",Hotel Palacio de Los Navas,4 de 5 burbujas,hotel con encanto
Conocíamos este hotel de otro fin de semana y hemos repetido.,Hotel Palacio de Los Navas,4 de 5 burbujas,Coqueto hotelito en el centro
"Hotel céntrico.  Lo malo por la noche a la hora de descansar. Mucho ruido de gente, algo de tráfico y el perrito nocturno. Las ventanas no estando insonorizadas.",Hotel Palacio de Los Navas,4 de 5 burbujas,Mucho encanro
"Hotel con encanto , situado en el centro de la ciudad. Muy bonito. Habitación a la cual no le faltaba detalles. El personal es muy atento y agradable. Por poner un pero, la puerta de apertura de la habitación, fallo en varias ocasiones y el habitáculo de los desayunos pequeño.",Hotel Palacio de Los Navas,4 de 5 burbujas,Escapada rápida con encanto
"Estimados huéspedes, agradecerle que aun habiendo pasado tiempo desde su estancia, nos haya dedicado unos minutos a hacer una valoración del establecimiento. Nos congratula que hayamos cubierto sus expectativas, aunque la invitamos a que en una futura ocasión nos solicite ver algún tipo de habitación mas, para que su satisfacción sea total. Esperamos verlos próximamente. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada ",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Casi perfecto
"Estimado/a ABUENOI,",Melia Granada,4 de 5 burbujas,Buen fin de semana
"Estimado Willy19751975,",Melia Granada,4 de 5 burbujas,Pobre para un cuatro estrellas
"Estimado Eduardo, nos congratula leer su reseña y que la comparta en este foro. Efectivamente el hotel tiene muchas posibilidades de ocio para las familias, y además el acceso al centro ciudad (siguiendo las indicaciones de nuestras pantallas) es muy fácil y en unos 10 minutos se está. Esperamos poder volver a verlo en una futura ocasión. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",No encontrarás un lugar mejor en Granada si viajas con niños
"Estimado huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Mala relación calidad precio
"Estimado José Francisco, agradecerle su estancia y positiva valoración global del nuestro establecimiento. Respecto al checkin, como es lógico intentamos dar las habitaciones lo antes posible, incluso antes, pero en épocas como esta Semana Santa de alta demanda, al tener permitida la salida hasta las 12 los clientes, pues se dilata un poco la entrega. Lamentamos los inconvenientes. Esperamos poder volver a verles en una futura ocasión. Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Bueno y tranquilo
"Estimados huéspedes,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",DESEANDO VOLVER
"Estimado Carlos, lo primero empezar por el final de su reseña, su intención de repetir y recomendarnos, lo cual le agradecemos y nos motiva. Respecto a lo que comenta del SPA, es una dependencia que está en otra zona distinta de la piscina climatizada, en la primera planta, dentro del hotel por supuesto. El Spa, es de pago, la piscina climatizada si es gratuita. Respecto a aparcar dentro del Corte Inglés, además de tener que comprar en él para tener ese descuento, lo que sí hay que comentar es que no se podría hacer uso del coche ni sacarlo desde las 22 horas que cierran hasta las 9:30 que abren, lo cual hay que tener claro también. ",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",BASTANTE BIEN EN GERERAL
"Estimado huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Hotel muy céntrico y muy acogedor
"Estimado Huésped, ",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Mejor ubicación que calidad
"Hotel pequeño, situado cerca del Albaicín, muy cercano a buena parte de los lugares más interesantes a visitar en Granada. No se puede llegar en coche, pero facilitan el taxi desde dos aparcamientos púbicos cercanos. Personal muy amable, y desayuno estupendo.",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Buena ubicación pero...
"Hotel céntrico,muy buena ubicacion para recorrer las zonas emblemáticas de Granada. Habitaciones limpias decoradas con sencillez y gusto.Baños amplios y comodos. Recalco ante todo la limpieza.El edificio es un antiguo palacio y eso le da un plus de encanto. El desayuno continental bastante decente. El hotel cumple con las expectativas una vez que has visto la web,no engañan en nada. En cuanto al aparcamiento,es logico que en la zona centrica sea imposible si no tiras de parcking privado. Si vas a visitar Granada lo normal es vallas a caminartela toda.Para la gente que no le importe caminar,lo ideal es buscar aparcamiento en zonas no tan centricas, y ya de paso conoces la ciudad fuera de la zona guiri.",Hotel Palacio de Los Navas,4 de 5 burbujas,Hotel encantador 
"Un hotel pequeñito, muy céntrico y muy bien decorado. Nuestra habitación estaba en la planta baja, y lógicamente había algo de ruido, pero nada espantoso. Las ventanas aislan bastante bien el ruido, y como el colchón y las almohadas eran cómodas, dormimos estupendamente. Cuando llegamos, olía a limpio, y el aire acondicionado funcionaba genial. El baño también estaba muy limpio. Al estar el hotel en pleno centro, lógicamente el coche hay que dejarlo a unos 10 minutos andando, pero merece la pena. Nosotros lo dejamos en un parking, y luego los 3 días que estuvimos, nos movimos andando. Hay infinidad de sitios en la misma calle del hotel para desayunar, comer o cenar. El desayuno es verdad que está en una planta más baja, pero no nos pareció agobiante ni mucho menos. Tenía la variedad justa, y la mujer que recogía las mesas nos trajo un vaso con hielo nada más pedirlo, no quiso que esperáramos ni un minuto! Fue muy amable. También fueron amables en recepción, con mención especial a una mujer que se llamaba Rosa (si mal no recuerdo) que nos guardó el equipaje el último día hasta que nos fuimos de Granada. ",Hotel Palacio de Los Navas,4 de 5 burbujas,"Agradable,sencillo y cómodo"
Hotel de 3* más que suficiente...,Hotel Palacio de Los Navas,4 de 5 burbujas,Nos gustó mucho
"Se trata de un hotel pequeñito, con muchísimo encanto.",Hotel Palacio de Los Navas,4 de 5 burbujas,"Ubicación, confort y personal"
"Estimado Jesús R,",Melia Granada,4 de 5 burbujas,Todo un 10!
"Estimado joxelu2016,",Melia Granada,4 de 5 burbujas,Un hotel ideal para visitar Granada
"Estimada Pepa G,",Melia Granada,4 de 5 burbujas,Reencuentro con am8gas
"Estimado/a SiempreTryp,",Melia Granada,4 de 5 burbujas,Algunas cosas no muy buenas
"Estimada Cheluhp,",Melia Granada,4 de 5 burbujas,"Necesita mejorar, muy justo para Melia!!"
"Estimados huéspedes,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Super recomendable!!!
"Estimado Huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Hotelito con encanto 100% recomendable!
"Estimado Huésped, Muchísimas gracias por su valoración. ",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Experiencia romántica
"Estimada Laura,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Una escapada MARAVILLOSA
"Estimada Mónica, darle las gracias por expresar esta opinión, destacando entre otros nuestro ""programa mascotas"", el cual es muy bien recibido por aquellas personas que las tienen. Esperamos poder contar con ustedes en una futura ocasión. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Hotel maravilloso 
"Estimada Amparo,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Encantador hotel.
"Estimado Carlos Oscar, para nuestro hotel y Cadena, es siempre un placer que se cuente con nosotros para hacer presentaciones de producto hotelero, y además, una gran responsabilidad al ser ""profesionales y entendidos"" todos los asistentes al acto. ",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Excelente como siempre
"Estimado ABDON360,",Melia Granada,4 de 5 burbujas,Buen Hotel...buena ubicación
"Estimado 937Fran,",Melia Granada,4 de 5 burbujas,EXCELENTE HOTEL POR PRECIO/CALIDAD/UBICACIÓN
"Estimado Luis Miguel S,",Melia Granada,4 de 5 burbujas,Hotelazo
"Estimado Iván, es muy motivador leer su reseña, y por ello le quiero transmitir nuestro agradecimiento, pues realmente son importantes que estas opiniones queden reflejadas para que otros posibles huéspedes puedan leerlas y hacerse sus propios juicios.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Visita
"Estimado tony s,",Melia Granada,4 de 5 burbujas,buen hotel en granada
"Estimado RAFAEL68,",Melia Granada,4 de 5 burbujas,La mejor ubicación
"Estimado huésped, las palabra dedicadas en esta reseña son muy halagadoras y sobre todo motivadoras. En nombre de todo el equipo le queremos agradecer que las haya compartido. Realmente nos dan aun mas fuerza para no bajar la guardia y seguir ofreciendo unos altos estándares de calidad y servicio al cliente. Le esperamos en una futura ocasión. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Opinión
Estuve hace ya unos cuatro años . Tengo buen recuerdo .,Hotel Palacio de Los Navas,4 de 5 burbujas,LA PEOR EXPERIENCIA HOTELERA DE MI VIDA
"LO MUY MALO, LO MALO Y LO BUENO",Hotel Palacio de Los Navas,4 de 5 burbujas,"Excelente ubicación, precioso palacio, buen hotel."
"Estuvimos alli en Semana Santa y dire que la ubicacion es inmejorable,la habitacion preciosa y el servicio muy bueno.Esta en la calle de los restaurantes,en todo el centro.Si vuelvo a Granada volveria a ese hotel sin niguna duda.El desayuno esta muy bien y el sitio es muy cuco.",Hotel Palacio de Los Navas,4 de 5 burbujas,ENCANTADOR!
"Estimado Cristianmg,",Melia Granada,4 de 5 burbujas,"Señor hotel ,gran ubicación,grandes vistas"
"Estimada Ana D,",Melia Granada,4 de 5 burbujas,Vacaciones
"Estimado Carlos C,",Melia Granada,4 de 5 burbujas,Una estancia maravillosa. Un servicio muy inmejorable.
"Primero he de decir que difiero de algunos comentarios negativos, porque mi opinión, impresión y experiencia es bastante diferente.",Hotel Palacio de Los Navas,4 de 5 burbujas,Excelente palacete
"Estimada inmasando,",Melia Granada,4 de 5 burbujas,Excelente
"Estimado huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",EXELENTE UBICACIÓN
"Estimado huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Maravillosa propuesta
"Estimado huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Excelente hotel
"Estimada MTeresa H,",Melia Granada,4 de 5 burbujas,Buen hotel! Volveríamos!
"Estimado Carlos, darle las gracias por su gran valoración del establecimiento y sobre todo del personal. Es importante que otros posibles huéspedes conozcan de la mano de ustedes directamente cómo viven su estancia y experiencia en el hotel, disfrutando de las instalaciones y servicios. Darle de nuevo las gracias y esperamos poder volver a verles en una futura ocasión. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas","Muy Buen Hotel,"
"Estimado Roberto, agradecemos su estancia y las valoraciones tan positivas que hace de ludoteca, piscina, habitación y en general de las instalaciones. Respecto a la cena, la realidad sentimos que se haya ido con esa percepción, es cierto que tenemos un precio asequible, pero no para dar una peor calidad, pues en las cenas el buffet no sólo son las líneas de exposición, si vio, tenemos un show cooking con un cocinero que hace al instante distintas referencias (depende del día pero siempre carne, pescado y verduras), luego hay un buffet pequeñito mas temático de niños (a los que los adultos tienen también acceso). En fin, revisaremos si hubo alguna falta de aprovisionamiento o error para corregir, pero nuestras críticas habituales es que la relación calidad/precio es muy aceptable. Esperamos poder volver a verlo y que su experiencia sea completamente satisfactoria. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Bien para ir con niños
"Estimado huésped, es para nosotros muy halagador saber que cumplimos sus expectativas tanto con el alojamiento como con la restauración. En ocasiones vemos críticas sobre la cena, y realmente nos apenan, pues tenemos un buffet libre a un precio muy, muy competitivo que cuenta además con un show cooking con un cocinero que hace al instante carnes, pescados o verduras a la plancha si las que hay expuestas en el buffet no son del agrado del comensal. Esperamos poder volver a verles en una futura ocasión. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Muy bueno
"Estimada Lucía, darle las gracias porque con comentarios como el suyo, además de ayudar a decidir a otros posibles huéspedes, nos motiva para seguir trabajando por y para dar un servicio y mantener unas instalaciones a la altura de las expectativas de nuestros clientes. Esperamos poder volver a verles en una futura ocasión. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Todo perfecto
"Estimado Juanma, agradecemos su gran valoración de nuestro establecimiento, destacando ubicación, gastronomía y personal. Es para nosotros muy motivador que exprese esta opinión en este foro de cara a que otros posibles huéspedes puedan elegirnos para su estancia. Respecto a la piscina climatizada tanto el agua del vaso como el ambiente está por normativa de piscinas entre los 26ºC y 29ºC y así lo mantenemos con un sistema domotizado que la regula. Esperamos poder volver a verlo en una futura ocasión.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Hotel fantástico
"Estimado huesped,",Melia Granada,4 de 5 burbujas,"""Impresionante"""
"Estimado N7090XYdavidp,",Melia Granada,4 de 5 burbujas,No hay opiniones
"Estimado huésped,",Melia Granada,4 de 5 burbujas,Si vivo en un hotel.... Que sea en Melia Granada
"Estimado/a Valencia_Jaen,",Melia Granada,4 de 5 burbujas,Bueno hotel pero mejorable
"Estimado Toni M,",Melia Granada,4 de 5 burbujas,Muy buen hotel
"En nuestra opinión, perfecto! No es un gran hotel no pretende serlo, es un hotel que se integra en la granada del albaicin de forma ideal. Con muchísimo encanto, desayuno rico y abundante, limpio y muy bien situado junto a la plaza nueva. Estar allí es como trasladarse siglos atrás. Sin duda muy recomendable!!!!",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Hotel con encanto en el casco antiguo de la ciudad
"El hotel está en la misma calle Navas, una de las más importantes de Granada en cuanto al tape o se refiere, pero eso no quiere decir que haya ruidos, ya que está al principio de la calle y ahí no hay bullicio. El hotel tiene una arquitectura de un antiguo palacio pero muy sencillo, sin ninguna estridencia. Habitaciones de tamaño normal, tendría unos 20 m. El personal muy amable y atento. Al desayuno si es verdad que le faltan muchas cosas ya que es todo frío, lo único caliente son tostadas, que te puedes hacer en el momento, y la bebida, pero bueno lo que hay es correcto.",Hotel Palacio de Los Navas,4 de 5 burbujas,MUY MUY RECOMENDABLE
"Si no has visitado Granada, es la ciudad más bonita del mundo.",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",No pudimos dormir en toda la noche.
"Precioso hotel Palacio situado en pleno centro de Granada, al lado de la Plaza Nueva y a la entrada del Camino del Darro y del Albaicin. Las habitaciones son cómodas y bien de tamaño, con una exquisita decoración. Los patios espectaculares. El personal de recepción muy amables y educados. En el hotel se pueden contratar excursiones guiadas. El desayuno difícil de superar, en variedad y en calidad. Lo recomiendo sin ninguna duda.",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",fin de semana magico
"Hotel encantador limpieza trato ubicacion todo perfecto,excelente calidad precio,fuimos a pasar un fin de semana para celebrar nuestro aniversario de bodas y el hotel con sus detalles lo convirtio en algo muy especial.",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Hotel agradable
"El hotel es bonito, sin duda, un patio con encanto y las habitaciones, con algunos fallos decorativos, pero bonitas.",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Un palacio del siglo XVI en pleno centro de Granada
"Estimada Abigail, es para nosotros muy halagador leer su reseña, sobre todo destacando a personal de un departamento tan importante como es la ludoteca. También que les haya gustado nuestra restauración. Espero poder volver a verle en una futura ocasión. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Recomendado
"Estimada Claudia, agradecerle personalmente su gran valoración y comentarios sobre su experiencia en nuestro establecimiento. Realmente nos ayuda a seguir motivados, y sobre todo anima a otros posibles huéspedes a elegirnos para pernoctar en Granada.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Perfecto
"Estimada Maria T,",Melia Granada,4 de 5 burbujas,Meliá Granada 
"Estimado Manuel Jesús, su crítica realmente es muy útil, pues resume en pocas palabras nuestra intención en la manera de trabajar y dar servicio y satisfacción a nuestros huéspedes. Efectivamente somos un hotel donde tienen cabida todas las tipologías de clientes, y todos tienen su espacio y sobre todo al personal volcado para que tengan una grata experiencia en su visita a Granada. Esperamos poder volver a verlo sea por ocio o trabajo, o con la familia o amigos. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",maravilloso hotel
"Estimado Munozlorenteabog,",Melia Granada,4 de 5 burbujas,Excelente ubicacion
"Estimado JuanQuinteroM,",Melia Granada,4 de 5 burbujas,Personal muy amable y localización perfecta para conocer Granada
"Estimado Carlos G,",Melia Granada,4 de 5 burbujas,Buena ubicación
"Estimado huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",PRECIOSO HOTEL
"Estimado huésped,",Melia Granada,4 de 5 burbujas,expectativas cumplidas
"Estimada Maribel,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Atención del personal
"Hotel precioso, en un entorno de ensueño. La ubicación es ideal, a 10 min. andando de la Alhambra y de la catedral, y el personal muy agradable. ",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Lindo!
"La calidad precio es muy buena, la habitacion es muy buena, la hubicacion inmejorable, limpio y son muy amables, pero las paredes son de papel y eso genera mucho ruido, recomendamos pero solicita una habitacion apartada.",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Hotel encantador
"Estimados huéspedes, esta mención es verdaderamente motivadora, y queremos darle las gracias por compartirla. Las familias tienen un lugar especial en nuestro hotel, y saber que tanto por instalaciones, como por opciones de ocio y por gastronomía hemos cubierto sus expectativas es muy halagador y hace que el equipo siga trabajando por ofrecer unos servicios de calidad. Le esperamos. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Increíble
"Estimada Bárbara, agradecerle nos eligiera para su estancia en Granada y que además comparta su satisfacción destacando a nuestro personal y nuestra gastronomía. Esperamos poder contar con usted en una futura visita a la ciudad. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Espectacular
"Estimada Beatriz, nos halaga su valoración y comentarios, destacando nuestra gastronomía, a la cual dedicamos un esfuerzo, recursos y cariño especiales. Esperamos poder volver a contar con ustedes en una futura visita a Granada. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Estancia de 10
"Nos ha encantado es muy bonito, la habitación es muy bonita y acogedora, con unas preciosas vistas a la alambra y una situación inmejorable.",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Muy recomendable
"Estimada Rafi, nos congratula que se haya sentido satisfecha en el hotel, sobre todo destacando los servicios y personal de spa y el desayuno, al cual dedicamos unos recursos y cariño especiales. Esperamos poder contar con usted en una futura ocasión. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Excelente
"Estimada carlag22,",Melia Granada,4 de 5 burbujas,muy buena experiencia
"Estimado 965cristobale,",Melia Granada,4 de 5 burbujas,Profesionalidad
"Estimado joaquind805,",Melia Granada,4 de 5 burbujas,"Baja calidad en las habitaciones, los tabiques son de papel, yo iba sólo a dormir y solicité una habitación tranquila"
"Estimado Sergio, darle las gracias por su opinión, sobre todo destacando ubicación y atención del personal. Sentimos que su percepción haya bajado tanto por lo que comenta, ya que tenemos en las habitaciones que dan a zonas de pasillos una doble puerta maciza de madera, y doble ventana con doble cristal. Si entre habitaciones se escucha algo por un exceso de ruido de algún huésped, nos es la primera vez que comunicándolo a recepción lo solventamos llamando al huésped que genera molestias. Esperamos que en una futura ocasión podamos contar con su visita, y si hubiera cualquier incidencia no dude en comunicarlo a la recepción. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Estancia 3 días
"Estimada silvia i,",Melia Granada,4 de 5 burbujas,Muy Buen hotel para conocer una ciudad muy bella
"Estimada SoniaGL94,",Melia Granada,4 de 5 burbujas,Excelente desayuno para comenzar el día!!
"Estupendo sitio...habitación, desayuno, localización... Únicamente hay que tener en cuenta el tema del coche ya que no se puede acceder a pie de puerta (algo que empieza a ser común en los centros históricos y que una vez aparcas se agradece). Hay que mirar el parking que tienen concertado o dejarlo en la calle (la zona del mirador de San Cristóbal está a 20 mins. caminando en cuesta o 6-8 euros en taxi) y llegarse hasta el hotel",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Muy buena estancia
"Estimado Jose M,  ",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas",Recomendable
"Estimada huésped,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas","Hermoso hotel, ojo con el parking"
"Estimado Carlos, nos alegramos de que finalmente pudiéramos solventar la incidencia y que exprese en este foro su satisfacción. Estamos para que el huésped se sienta feliz, y trabajamos siempre con esa orientación. En esta ocasión pudimos arreglarlo bastante bien y por ello le expresamos nuestro agradecimiento hacia su crítica en este foro. Esperamos poder volver a verles (esta vez sin sobresaltos), en una futura ocasión. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Nos solucionaron un problemon
"Estimado huésped, muchas gracias por su valoración tan positiva de nuestro establecimiento. Respecto al desayuno nos sorprende un poco el comentario pues las variedades de fruta que tenemos suelen coincidir con la temporada. Melón o piña natural cortada, y luego en piezas, manzanas, naranjas, kiwis, mandarinas, plátano. Y en almíbar melocotón, piña o macedonia. El otro comentario que hace respecto a gimnasio, siendo cierto que en comparación con el hotel puede resultar pequeño, es muy completo y rara vez lo vemos con todas las máquinas ocupadas. Esperamos poder volver a verle. Atentamente, Juan M. López Dirección Sercotel Gran hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Un buen hotel
"Estimado huésped, agradecemos su gran valoración y comentarios sobre nuestra calidad precio. Intentamos ofrecer los mejores servicios a unos precios competitivos, y en ocasiones sacamos ofertas que son muy interesantes como a la que se acogió usted.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Todo muy bien
"Estimada Paqui, nos hubiera gustado que su percepción final, a pesar de todos los aspectos positivos que comenta, hubiera sido mas positiva (a tenor de la valoración final otorgada). Tanto tema de las camas (que suele se un aspecto que la mayoría de los huéspedes destaca como positivo), como el tema de la insonorización interior (con doble puerta en la mayoría de las habitaciones que pueden tener ruidos de los pasillos o ascensores), nos hubiera gustado conocerlo y saberlo, ya que con los datos de su perfil no podemos saber qué habitación tuvo. Nuestra vocación y objetivo es la de satisfacción total, por lo que seguiremos mejorando y perfilando todos aquellos aspectos de cada habitación para que las estancias de nuestros clientes sea lo mas satisfactoria posible.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Viaje a Granada
"Estimado Sr Miraballes,",Hotel Casa del Capitel Nazari,"4,5 de 5 burbujas","Gran hotel, mala atencion"
"Estimada huésped, para nosotros es muy motivadora su valoración, lo cual le agradecemos. También tomamos en cuenta su apreciación para tema de poner cremas o sopas para las cenas. Esperamos poder volver a verles en una futura ocasión.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Visita a Granada 
"Estimado/a Oguiste,",Melia Granada,4 de 5 burbujas,Meliá en el Realejo
"Estimado Cristobal E,",Melia Granada,4 de 5 burbujas,En su linea de calidad y profesionalidad
"Estimado Pablo R,",Melia Granada,4 de 5 burbujas,Bueno pero con detalles.
"Estimado Jerotgv,",Melia Granada,4 de 5 burbujas,"Hotel muy bien situado, cómodo y limpio."
"Estimado 327carlosq,",Melia Granada,4 de 5 burbujas,Fraude
"Estimado Ángel, nos reconfortan sus palabras, las cuales tomamos con gratitud y motivación para seguir trabajando por ofertar unos servicios e instalaciones cuidadas y de calidad. Esperamos poder volver a verles en una futura ocasión. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Excelente
"Estimada huésped, he tratado de averiguar por qué no paso a nuestro sistema las observaciones con la información que comenta en su reserva. Realmente, como comprobaría luego en el restaurante, todo el personal está volcado en atender a nuestros clientes para que se vayan satisfechos. Intentamos en la medida de lo posible satisfacer las necesidades y cuando llegó ya no teníamos posibilidad de dar una habitación con cama de matrimonio (bajo disponibilidad), sofá cama y cuna como tenía usted reservada. Le ruego, y a tenor de la valoración final dada, que nos tenga en cuenta para futuras ocasiones, pues le aseguro que lo habitual es que nuestros clientes se vayan satisfechos y más con el trato de todo el equipo. Afectuosamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada.",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas","Buen hotel, atención mejorable"
"Estimado Daniel, agradecerle que exprese su satisfacción con su estancia y la solución aportada por nuestro personal con las habitaciones contiguas de cara a que la familia estuviese junta. Cierto que el hotel, (el mas grande de Granada), tiene una distribución muy horizontal y para determinadas habitaciones hay que recorrer mas distancia. Esperamos no sea motivo para no volver a visitarnos en una futura ocasión. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",Fin de semana perfecto
"Estimado huésped, le agradecemos su gran valoración de ubicación, instalaciones y personal. Tras la reforma también hemos acometido una serie de mejoras como es la instalación de una doble ventana en la mayoría de las habitaciones del hotel y que consideramos mas ruidosas. Quedaron algunas que estimamos no generaban problemas. Lo analizaremos, y a la luz de sus comentarios procederemos a solventar tal incidencia. Reiterarle nuestro agradecimiento por sus comentarios. Atentamente, Juan M. López Dirección Sercotel Gran Hotel Luna de Granada",Sercotel Gran Hotel Luna de Granada,"2,5 de 5 burbujas",estancia en granada
